hno,gugun,animal_hospital,approval,road_address,tel,lat,lon,basic_date
140,부산광역시 연제구,엘동물의료센터,2019-08-22,"부산광역시 연제구 중앙대로 1133, 1층(연산동)",051-862-8275,35.18879417,129.0806435,2023-12-31
141,부산광역시 연제구,연산동물의료센터,2021-01-13,부산광역시 연제구 연수로 135(연산동),051-791-0175,35.17494996,129.0855539,2023-12-31
142,부산광역시 중구,고동물병원,1996-06-20,부산광역시 중구 자갈치로47번길 5 (남포동5가),051-246-0473,35.09767884,129.0292058,2023-12-31
143,부산광역시 중구,희망종합동물병원,1998-01-09,"부산광역시 중구 구덕로 51, 2층 (남포동5가)",051-241-0103,35.09796834,129.0301417,2023-12-31
144,부산광역시 중구,피닉스동물병원,1999-11-01,부산광역시 중구 구덕로 30-1 (남포동2가),051-246-7551,35.09807434,129.0325121,2023-12-31
145,부산광역시 영도구,,2004-01-03,부산광역시 영도구 태종로 78,051-415-2468,35.09213928,129.0392806,2023-12-31
146,부산광역시 영도구,,1996-05-09,부산광역시 영도구 동삼로 80,051-405-9493,35.08053566,129.0706151,2023-12-31
147,부산광역시 영도구,,2002-01-04,부산광역시 영도구 태종로 111,051-415-2566,35.09111541,129.0430402,2023-12-31
148,부산광역시 동래구,동래종합동물병원,2012-03-19,"부산광역시 동래구 금강로 69, 105호 (온천동)",051-558-0775,35.21560697,129.0773872,2023-12-31
149,부산광역시 동래구,레알동물병원,2012-07-10,부산광역시 동래구 반송로 243 (안락동),051-524-8275,35.20241123,129.0989227,2023-12-31
150,부산광역시 동래구,바른동물병원,2012-07-27,부산광역시 동래구 충렬대로 488 (안락동),051-531-7582,35.19429868,129.1112629,2023-12-31
151,부산광역시 동래구,뉴욕동물병원,2013-04-19,부산광역시 동래구 명륜로 65 (수안동),051-555-2119,35.19995209,129.0841635,2023-12-31
152,부산광역시 동래구,학산동물병원,2014-04-04,부산광역시 동래구 동래로147번길 6 (복천동),051-557-7577,35.20467189,129.0870334,2023-12-31
153,부산광역시 동래구,스카이동물병원,2014-05-01,"부산광역시 동래구 충렬대로 160, 1층 (온천동)",051-506-8875,35.2043683,129.0773947,2023-12-31
154,부산광역시 동래구,훈 동물병원,2014-05-12,부산광역시 동래구 명륜로194번길 2 (명륜동),051-554-0010,35.21105706,129.082892,2023-12-31
155,부산광역시 동래구,유성준동물병원,2016-03-08,"부산광역시 동래구 명륜로 90 (수안동, 호원메디컬)",051-555-4813,35.20225575,129.0841711,2023-12-31
156,부산광역시 동래구,온천동물병원,2016-10-28,부산광역시 동래구 아시아드대로 207 (온천동),051-505-4088,35.20270319,129.0658144,2023-12-31
157,부산광역시 동래구,노블동물병원,2018-05-31,부산광역시 동래구 아시아드대로 160 (사직동),051-982-2580,35.19866202,129.0654625,2023-12-31
158,부산광역시 동래구,대일종합동물병원,2019-04-08,부산광역시 동래구 충렬대로 435 (안락동),051-529-2991,35.19648977,129.1061241,2023-12-31
159,부산광역시 동래구,유기화동물의료센터,2019-12-26,부산광역시 동래구 아시아드대로 131-1 (사직동),051-506-8492,35.19619127,129.0656183,2023-12-31
160,부산광역시 동래구,린동물병원,2020-06-03,부산광역시 동래구 중앙대로1381번길 43 (온천동),051-514-2470,35.21102815,129.0755263,2023-12-31
161,부산광역시 동래구,헤아림동물병원,2021-03-23,부산광역시 동래구  충렬대로 288 (낙민동),051-555-1125,35.20009887,129.0904351,2023-12-31
162,부산광역시 동래구,24시 리본동물의료센터,2021-03-31,부산광역시 동래구 충렬대로 194 2층 (명륜동),051-711-0006,35.20291583,129.0809845,2023-12-31
163,부산광역시 동래구,24시 리본동물영상센터,2021-03-31,부산광역시 동래구 충렬대로 194 3층 (명륜동),051-711-0006,35.20291583,129.0809845,2023-12-31
164,부산광역시 동래구,온마음동물병원,2021-07-08,부산광역시 동래구 중앙대로1473번길 24 온천장역삼정그린코아더시티 상가동 109~110호 (온천동),051-552-6800,35.21807192,129.0825697,2023-12-31
165,부산광역시 부산진구,정훈동물병원,2014-04-25,"부산광역시 부산진구 부전로66번길 12, 2층 (부전동)",051-809-7975,35.15577406,129.0553684,2023-12-31
166,부산광역시 부산진구,스타동물병원,2014-12-11,"부산광역시 부산진구 전포대로 170, B1층 104호 (전포동)",051-819-7588,35.15180674,129.0657873,2023-12-31
167,부산광역시 부산진구,양·한방 전문 힘찬동물병원,2016-09-09,"부산광역시 부산진구 대학로 1, 1,2층 (가야동)",051-894-8275,35.15467839,129.0382326,2023-12-31
168,부산광역시 부산진구,닥터펫 동물의료센터,2016-11-29,"부산광역시 부산진구 개금온정로 6 (개금동, 개금블루스카이)",051-891-8575,35.15367771,129.0255653,2023-12-31
169,부산광역시 부산진구,하이동물병원,2023-08-01,"부산광역시 부산진구 거제대로 18, 1, 2층 (양정동)",051-852-7570,35.1701852,129.0677114,2023-12-31
170,부산광역시 부산진구,롯데동물메디컬센터,2019-09-18,부산광역시 부산진구 거제대로 20 (양정동),"051-851-6612,3",35.17037746,129.0675997,2023-12-31
171,부산광역시 부산진구,보듬 동물병원,2020-03-11,"부산광역시 부산진구 가야대로 517, 윤정빌딩 (가야동)",051-894-1202,35.15365246,129.0285393,2023-12-31
172,부산광역시 부산진구,서면Q 외과 동물병원,2020-04-13,"부산광역시 부산진구 서전로 25, 이오스프라자 201호 (전포동)",051-818-5975,35.15796437,129.0625859,2023-12-31
173,부산광역시 부산진구,부산종합동물병원,1991-03-20,부산광역시 부산진구 중앙대로 867 (양정동),051-817-4626,35.16853621,129.0668511,2023-12-31
174,부산광역시 부산진구,초읍동물병원,2008-06-13,부산광역시 부산진구 새싹로 243-4 (초읍동),051-805-0975,35.17820938,129.0481493,2023-12-31
175,부산광역시 부산진구,신개금동물병원,2011-04-07,부산광역시 부산진구 복지로 47 (개금동),051-891-1077,35.14904924,129.0207441,2023-12-31
176,부산광역시 부산진구,웰니스크리닉,2011-08-24,"부산광역시 부산진구 시민공원로 31, 이마트트레이더스서면점 (부암동)",051-803-7511,35.1639021,129.0525537,2023-12-31
177,부산광역시 부산진구,펫케어 동물병원,2012-04-27,"부산광역시 부산진구 가야공원로 6, B112호 (가야동, 가야센트레빌아파트)",051-896-7582,35.15298214,129.0289259,2023-12-31
178,부산광역시 부산진구,미소동물병원,2013-02-08,"부산광역시 부산진구 가야대로 754 (부전동, 한솔폴라리스)",051-894-5433,35.15710324,129.05386,2023-12-31
179,부산광역시 부산진구,우진동물병원,1992-08-07,"부산광역시 부산진구 동평로 115-1, 1층 (부암동)",051-865-1782,35.16624608,129.042101,2023-12-31
180,동구,동구종합동물병원,1992-07-04,부산광역시 동구 망양로 835-1,051-441-6383,35.13607256,129.045677,2023-06-30
181,동구,시민동물병원,2005-06-24,부산광역시 동구 초량상로 84-1,051-464-5975,35.11918641,129.038692,2023-06-30
182,동구,하나동물병원,2009-05-11,"부산광역시 동구 수정동로 11, 1층",051-462-6790,35.12963377,129.0449582,2023-06-30
183,동구,구구동물병원,2020-10-19,부산광역시 동구 범일로 64,051-638-9977,35.13553638,129.0596496,2023-06-30
184,동구,성경완동물병원,2022-05-04,"부산광역시 동구 고관로 48, 제1동 103호",051-465-7582,35.12359685,129.0436303,2023-06-30
185,서구,길경진동물병원,2005-12-08,부산광역시 서구 구덕로 308 (동대신동2가),051-244-5504,35.111374,129.017342,2023-12-31
186,부산광역시 사상구,서부산동물메디컬센터,2018-05-11,"부산광역시 사상구 낙동대로 786, 애진빌딩 201호 (엄궁동)",0507-1329-887,35.130819,128.972253,2024-01-05
187,부산광역시 사상구,가나다 동물병원,2020-06-09,부산광역시 사상구 가야대로 325 (주례동),0507-1372-7983,35.15144,129.008089,2024-01-05
188,부산광역시 사상구,사상동물병원,1989-11-23,부산광역시 사상구 사상로 153 (괘법동),051-322-3026,35.163846,128.990222,2024-01-05
189,부산광역시 사상구,주례동물병원,1991-10-16,부산광역시 사상구 가야대로 258 (주례동),051-313-2559,35.15089,129.003749,2024-01-05
190,부산광역시 사상구,모라동물병원,1996-03-11,부산광역시 사상구 백양대로 957 (모라동),051-325-1638,35.150068,129.000935,2024-01-05
191,부산광역시 사상구,신병헌동물병원,1996-03-20,부산광역시 사상구 사상로 261 (덕포동),051-304-6455,35.171774,128.98637,2024-01-05
192,부산광역시 사상구,대성동물병원,1998-12-21,부산광역시 사상구 주례로10번길 125 (주례동),051-317-7558,35.149513,129.004646,2024-01-05
193,부산광역시 사상구,개금동물병원,2003-01-22,부산광역시 사상구 가야대로 367 (주례동),051-324-9954,35.15164,129.012837,2024-01-05
194,부산광역시 사상구,엄궁종합동물병원,2003-08-25,부산광역시 사상구 대동로 18 (엄궁동),051-316-7597,35.132241,128.97322,2024-01-05
195,부산광역시 사상구,고은동물병원,2004-09-22,부산광역시 사상구 모라로 107 (모라동),051-311-7578,35.186544,128.991267,2024-01-05
196,부산광역시 사상구,쿨펫동물병원,2006-05-19,"부산광역시 사상구 낙동대로 733, 롯데마트엄궁점 2층 (엄궁동)",051-314-7582,35.127775,128.968312,2024-01-05
197,부산광역시 기장군,마레동물병원,2023-07-04,"부산광역시 기장군 일광읍 해송4로 16, 일광역에코테라스 209호",051-988-5025,35.26649556,129.2320457,2024-01-16
198,부산광역시 기장군,좌천동물병원,1987-01-14,부산광역시 기장군 장안읍 해맞이로 17-1,051-727-0170,35.3134109,129.2452498,2024-01-16
199,부산광역시 기장군,기장동물병원,1996-06-20,부산광역시 기장군 기장읍 차성로288번길 61,051-721-8075,35.24324651,129.2172125,2024-01-16
200,부산광역시 기장군,킴스동물병원,2012-09-05,부산광역시 기장군 정관읍 정관로 565,051-728-2236,35.32180314,129.1759497,2024-01-16
201,부산광역시 기장군,지 동물병원,2014-10-31,부산광역시 기장군 정관면 용수로 21,051-728-0557,35.32568156,129.1784585,2024-01-16
202,부산광역시 기장군,아산동물의료센터,2015-09-01,부산광역시 기장군 정관읍 정관로 583,051-727-7522,35.32116351,129.177766,2024-01-16
203,부산광역시 기장군,정관착한동물병원,2016-05-30,"부산광역시 기장군 정관읍 정관로 575-3, 2층 202호 (정관제일타워Ⅱ)",051-923-0119,35.32153408,129.1767376,2024-01-16
204,부산광역시 기장군,디알씨동물병원,2016-08-22,부산광역시 기장군 기장읍 차성로 314 1층,051-624-8275,35.24559592,129.2139404,2024-01-16
205,부산광역시 기장군,배산 동물병원,2020-12-02,부산광역시 기장군 기장읍 차성로 286,051-755-1175,35.24288433,129.2137901,2024-01-16
206,부산광역시 기장군,일광해빛동물병원,2021-02-18,"부산광역시 기장군 일광읍 해빛6로 85-4, 스타타워Ⅱ 3층 301,302호",051-721-7975,35.26524867,129.2270263,2024-01-16
207,북구,덕천동물의료센터,1991-01-17,부산광역시 북구 만덕대로 119 (덕천동),051-332-8060,35.21340581,129.0178817,2024-01-12
208,북구,백양동물병원,1992-06-15,부산광역시 북구 덕천로 290 (만덕동),051-332-7588,35.20949644,129.0356141,2024-01-12
209,북구,노아동물병원,1999-07-02,"부산광역시 북구 금곡대로 175 (화명동, 화명2차동원로얄듀크비스타)",051-343-7588,35.22489686,129.0094792,2024-01-12
210,북구,21세기종합동물병원,2002-12-21,부산광역시 북구 만덕대로 34 (덕천동),051-365-0075,35.21075984,129.0087877,2024-01-12
211,북구,장원동물병원,2003-03-21,"부산광역시 북구 시랑로 1, 장원동물병원 (구포동)",051-342-3739,35.20532307,129.004624,2024-01-12
212,북구,차동물병원,2003-09-02,부산광역시 북구 금곡대로 304 (화명동),051-331-7582,35.23544954,129.0140925,2024-01-12
213,북구,행복한동물병원,2009-07-02,"부산광역시 북구 금곡대로 344 (화명동,화명빌딩202호)",051-363-7593,35.23911504,129.0144678,2024-01-12
214,북구,만덕24시동물병원,2012-03-08,부산광역시 북구 덕천로 227 (만덕동),051-337-0075,35.21080614,129.0289641,2024-01-12
215,북구,카이저 동물병원,2013-04-16,"부산광역시 북구 금곡대로 182, 새마을금고 (화명동)",051-361-7582,35.22502619,129.0101838,2024-01-12
216,북구,그랜드 동물병원,2014-06-09,"부산광역시 북구 학사로 299, 해림빌딩 (금곡동)",051-365-7588,35.24759446,129.0126287,2024-01-12
217,북구,해든동물병원,2016-06-10,부산광역시 북구 백양대로 1053 (구포동),051-343-3834,35.19944983,128.996535,2024-01-12
218,북구,유동물의료센터,2017-06-14,부산광역시 북구 만덕대로 41 (덕천동),051-343-7566,35.21139426,129.0094545,2024-01-12
219,북구,더힐동물병원,2018-01-31,"부산광역시 북구 만덕대로 147,  1층 105호,106호 (덕천동, 삼정그린코아아파트)",051-341-3344,35.21338054,129.0208799,2024-01-12
220,북구,원 동물병원,2018-09-20,"부산광역시 북구 금곡대로 287, 삼한골든뷰 2층 202,203호 (화명동)",051-333-7584,35.23418517,129.0133077,2024-01-12
221,북구,토브동물병원,2019-05-15,"부산광역시 북구 화명대로 20, 대성빌딩 101호 (화명동)",051-361-9975,35.23471656,129.0101283,2024-01-12
222,북구,베이직 동물병원,2020-04-08,"부산광역시 북구 만덕3로 55-1, 2층 (만덕동)",051-342-5999,35.21117833,129.0297156,2024-01-12
223,부산광역시 강서구,KRA 부산동물병원,2004-03-04,부산광역시 강서구 가락대로 929 (범방동),051-901-7434,35.1546389,128.8819186,2024-01-16
224,부산광역시 강서구,명지종합동물병원,2012-08-13,"부산광역시 강서구 명지오션시티11로 74 (명지동,명지오션타워 204)",051-271-8889,35.08404893,128.9039446,2024-01-16
225,부산광역시 강서구,명지오션시티동물병원,2013-06-04,부산광역시 강서구 명지오션시티11로 66 (명지동),051-271-7582,35.08402778,128.9031548,2024-01-16
226,부산광역시 강서구,스마일동물병원,2013-10-30,부산광역시 강서구 가락대로 929 (범방동),051-901-7384,35.1546389,128.8819186,2024-01-16
227,부산광역시 강서구,해옴동물병원,2016-02-01,부산광역시 강서구 명지오션시티4로 69 (명지동),051-271-8119,35.08277795,128.9039415,2024-01-16
228,부산광역시 강서구,네오메디컬동물병원,2016-04-15,부산광역시 강서구 명지국제6로 234 (명지동),051-291-4545,35.09643441,128.9230557,2024-01-16
229,부산광역시 강서구,국제동물병원,2016-12-16,부산광역시 강서구 명지국제8로 243 (명지동),051-204-7588,35.09843538,128.9195246,2024-01-16
230,부산광역시 강서구,이로운동물병원,2017-09-25,"부산광역시 강서구 명지국제11로 35, 103동 105호 (명지동)",051-916-7575,35.10472338,128.9224034,2024-01-16
231,부산광역시 강서구,마리동물병원,2018-03-14,"부산광역시 강서구 가락대로 929, 부산경남경마공원 (범방동)",051-901-7482,35.1546389,128.8819186,2024-01-16
232,부산광역시 강서구,홈즈 동물병원,2020-04-06,"부산광역시 강서구 명지국제8로 233, 2층 203호 (명지동)",051-294-7555,35.09853492,128.9182864,2024-01-16
233,부산광역시 강서구,신호 동물병원,2021-08-17,"부산광역시 강서구 신호산단1로 124, 103호 (신호동)",051-972-0972,128.8773203,35.08112587,2024-01-16
234,부산광역시 동래구,재생동물병원,1982-11-29,부산광역시 동래구 충렬대로 268-1 (낙민동),051-555-4130,35.20069135,129.0885107,2023-12-31
235,부산광역시 동래구,안락동물병원,1990-07-07,부산광역시 동래구 안연로98번길 4 (안락동),051-556-8747,35.19582491,129.0979557,2023-12-31
236,부산광역시 동래구,한양종합동물병원,1991-09-03,부산광역시 동래구 반송로 265 (명장동),051-527-8742,35.20381205,129.100627,2023-12-31
237,부산광역시 동래구,사직삼보동물병원,1992-01-14,부산광역시 동래구 사직북로63번길 11 (사직동),051-504-1813,35.19976067,129.0576444,2023-12-31
238,부산광역시 동래구,한사랑동물병원,1998-01-13,부산광역시 동래구 명륜로98번길 1 (명륜동),051-555-8300,35.20274842,129.0836001,2023-12-31
239,부산광역시 동래구,동양축산병원,1998-02-26,"부산광역시 동래구 명륜로 151, 1층 108호 (명륜동)",051-552-3003,35.20730401,129.0816781,2023-12-31
240,부산광역시 동래구,초원동물병원,2006-06-15,부산광역시 동래구 명장로 150 (안락동),051-525-1275,35.19837485,129.1122332,2023-12-31
241,부산광역시 동래구,자연동물병원,2008-02-22,부산광역시 동래구 사직로70번길 50 (사직동),051-506-7975,35.19746429,129.0577268,2023-12-31
242,부산광역시 기장군,힐링페츠동물병원,2022-01-26,"부산광역시 기장군 기장읍 대청로 8, 1층",051-724-7585,35.23778244,129.2111102,2024-01-16
243,수영구,메이동물의료센터,2019-09-11,"부산광역시 수영구 수영로 610, 호암 2층 (광안동)",051-752-6667,35.16008976,129.1139049,2023-12-31
244,수영구,센텀동물메디컬센터,2019-12-03,"부산광역시 수영구 연수로 407-1, 2-3층 (수영동)",051-746-7582,35.16842664,129.1140078,2023-12-31
245,수영구,유어캣 고양이병원,2020-07-03,"부산광역시 수영구 무학로63번길 142, 401동 2층 203호 (민락동, 센텀비스타동원2차)",051-757-1275,35.16747047,129.1189674,2023-12-31
246,수영구,오리진 동물피부과병원,2020-10-06,"부산광역시 수영구 광안해변로370번길 9-8, 블루오션 3층 (민락동)",051-753-7582,35.15560487,129.133852,2023-12-31
247,수영구,베스트프렌드 동물병원,2023-02-07,부산광역시 수영구 연수로 296(망미동),051-753-2966,35.17267567,129.1031144,2023-12-31
248,수영구,더에스동물병원,2023-06-09,"부산광역시 수영구 수영로464번길 6, 목원빌딩 3층 302호(남천동)",051-913-7582,35.14717614,129.1105406,2023-12-31
249,금정구,금빛동물의료센터,2011-10-11,"부산광역시 금정구 식물원로 38, 주현빌딩 2층 (장전동)",051-515-5179,35.22502371,129.0843428,2023-12-31
250,북구,동행동물의료센터,2021-06-08,"부산광역시 북구 금곡대로 126, 채움센트럴 3층 (덕천동)",051-908-7575,35.22011251,129.0081566,2024-01-12
251,북구,허그동물의료센터,2022-09-05,"부산광역시 북구 금곡대로 366, 대진빌딩 1층",051-714-5251,35.24106321,129.0143273,2024-01-12
252,부산광역시 연제구,24시 센텀동물메디컬센터 연산점,2021-12-28,"부산광역시 연제구 법원북로 34,104동 2504호(거제동,거제1차현대홈타운)",051-711-8253,35.19243038,129.0711167,2023-12-31
253,부산광역시 남구,더본 외과동물의료센터,2021-09-01,부산광역시 남구 수영로 364,051-711-7515,35.13942265,129.1053498,2024-01-08
254,부산광역시 영도구,,2009-09-30,부산광역시 영도구 태종로 430,051-414-7588,35.0893575,129.0678792,2023-12-31
255,사하구,한솔동물병원,2006-06-20,부산광역시 사하구 낙동대로 184 (괴정동),051-201-0475,35.10166711,128.9963948,2024-01-19
256,사하구,스마트동물병원,2006-07-21,부산광역시 사하구 다대로 624 (다대동),051-261-1891,35.05086817,128.9702908,2024-01-19
257,사하구,다대동물병원,2007-02-02,부산광역시 사하구 다대로 549 (다대동),051-266-7582,35.05723329,128.9712761,2024-01-19
258,사하구,괴정동물병원,2008-04-07,부산광역시 사하구 낙동대로250번안길 15 (괴정동),051-207-3344,35.09972769,128.988869,2024-01-19
259,사하구,부산야생동물치료센터,2008-10-16,부산광역시 사하구 낙동남로 1240 (하단동),051-209-2091,35.10448731,128.9459837,2024-01-19
260,사하구,삼성종합동물병원,2012-08-21,부산광역시 사하구 감천로 32 (감천동),051-205-1017,35.09078073,128.9960757,2024-01-19
261,사하구,라온동물병원,2013-07-02,부산광역시 사하구 낙동대로 511 (하단동),051-291-7900,35.10980255,128.9657794,2024-01-19
262,사하구,김현태김동민 동물병원,2014-12-17,부산광역시 사하구 다송로 36 (다대동),051-265-7582,35.06407983,128.9818602,2024-01-19
263,사하구,코끼리동물병원,2015-04-27,부산광역시 사하구 하신번영로 201 (신평동),051-204-7576,35.09885507,128.9583892,2024-01-19
264,사하구,행복한 동물병원,2022-04-29,"부산광역시 사하구 을숙도대로 713, 1층 (신평동)",051-714-2435,35.08522306,128.9834518,2024-01-19
265,사하구,모아동물병원,2022-05-19,"부산광역시 사하구 장림번영로 41, 1층 (장림동)",051-265-0114,35.08083406,128.9699332,2024-01-19
266,사하구,더바른 동물병원,2022-07-06,"부산광역시 사하구 다대로 700, 2층 (다대동)",051-717-2316,35.04869327,128.9649598,2024-01-19
267,사하구,정직한 동물병원,2023-06-12,"부산광역시 사하구 하신중앙로 182, 2층 201호 (신평동)",051-205-2323,35.0947936,128.9624435,2024-01-19
268,부산광역시 강서구,명지 수동물병원,2022-07-08,"부산광역시 강서구 명지국제2로 29, 203호 (명지동)",051-710-7574,35.09415059,128.9067871,2024-01-16
269,부산광역시 강서구,어울림동물메디컬센터,2022-07-12,"부산광역시 강서구 명지국제8로 270, 1동 202호 (명지동)",051-711-7581,35.09751444,128.9220918,2024-01-16
270,부산광역시 강서구,테디펫닥터동물병원,2023-05-04,부산광역시 강서구 명지국제6로232번길 14-8 (명지동),,35.09570098,128.9234861,2024-01-16
271,부산광역시 동래구,24시 더휴동물의료센터,2022-12-28,"부산광역시 동래구 온천장로 20, 1층 (온천동)",051-513-6060,35.21399083,129.079534,2023-12-31
272,부산광역시 동래구,포레동물병원,2023-07-11,"부산광역시 동래구 명장로 58, 1층 (명장동)",051-526-7588,35.20453297,129.1072627,2023-12-31
273,부산광역시 부산진구,리치동물병원,2008-03-28,"부산광역시 부산진구 당감서로 84, 아시아드빌딩상가 (당감동)",051-892-0280,35.167749,129.0371365,2023-12-31
274,부산광역시 부산진구,당감동물병원,1991-09-30,부산광역시 부산진구 당감로 31-1 (당감동),051-897-7271,35.16453094,129.039247,2023-12-31
275,부산광역시 부산진구,정원동물병원,2023-08-11,"부산광역시 부산진구 성지로 34, 2층 (연지동)",051-897-7272,35.16453094,129.039247,2023-12-31
