sido,gugun,total,male,female
서울특별시,소계,9384325,4538354,4845971
서울특별시,종로구,139378,67240,72138
서울특별시,중구,121322,58651,62671
서울특별시,용산구,212175,101793,110382
서울특별시,성동구,277090,134390,142700
서울특별시,광진구,335335,161154,174181
서울특별시,동대문구,340983,167230,173753
서울특별시,중랑구,382284,187392,194892
서울특별시,성북구,424916,203824,221092
서울특별시,강북구,287490,139141,148349
서울특별시,도봉구,306722,148670,158052
서울특별시,노원구,497237,238609,258628
서울특별시,은평구,466474,221484,244990
서울특별시,서대문구,305857,145212,160645
서울특별시,마포구,363679,169882,193797
서울특별시,양천구,435548,212547,223001
서울특별시,강서구,562550,269623,292927
서울특별시,구로구,392311,192252,200059
서울특별시,금천구,227457,114471,112986
서울특별시,영등포구,374985,183769,191216
서울특별시,동작구,378360,182934,195426
서울특별시,관악구,481872,242598,239274
서울특별시,서초구,407768,194231,213537
서울특별시,강남구,549154,262618,286536
서울특별시,송파구,653989,314189,339800
서울특별시,강동구,459389,224450,234939
부산광역시,소계,3290964,1603859,1687105
부산광역시,중구,38476,18668,19808
부산광역시,서구,103889,49956,53933
부산광역시,동구,87619,42595,45024
부산광역시,영도구,106335,52207,54128
부산광역시,부산진구,360053,172807,187246
부산광역시,동래구,269784,130367,139417
부산광역시,남구,254348,123849,130499
부산광역시,북구,272932,134225,138707
부산광역시,해운대구,379702,181894,197808
부산광역시,사하구,296935,147333,149602
부산광역시,금정구,214642,104650,109992
부산광역시,강서구,142109,73702,68407
부산광역시,연제구,209331,100036,109295
부산광역시,수영구,174086,81657,92429
부산광역시,사상구,202376,101549,100827
부산광역시,기장군,178347,88364,89983
대구광역시,소계,2373844,1166110,1207734
대구광역시,중구,89685,42950,46735
대구광역시,동구,342703,167899,174804
대구광역시,서구,164513,81686,82827
대구광역시,남구,138806,66319,72487
대구광역시,북구,418563,207552,211011
대구광역시,수성구,408260,196713,211547
대구광역시,달서구,526576,258322,268254
대구광역시,달성군,261808,132810,128998
대구광역시,군위군,22930,11859,11071
인천광역시,소계,3000454,1500414,1500040
인천광역시,중구,159481,82604,76877
인천광역시,중구영종출장소,0,0,0
인천광역시,중구용유출장소,0,0,0
인천광역시,동구,59325,29718,29607
인천광역시,미추홀구,406937,204668,202269
인천광역시,연수구,392681,194710,197971
인천광역시,남동구,491660,244140,247520
인천광역시,부평구,495627,243992,251635
인천광역시,계양구,279708,139204,140504
인천광역시,서구,625675,315196,310479
인천광역시,서구검단출장소,0,0,0
인천광역시,강화군,69013,34553,34460
인천광역시,옹진군,20347,11629,8718
광주광역시,소계,1418241,700377,717864
광주광역시,동구,107152,52795,54357
광주광역시,서구,283582,138771,144811
광주광역시,남구,209472,100272,109200
광주광역시,북구,421473,208505,212968
광주광역시,광산구,396562,200034,196528
대전광역시,소계,1441562,719008,722554
대전광역시,동구,217079,109283,107796
대전광역시,중구,222919,109425,113494
대전광역시,서구,464741,228082,236659
대전광역시,유성구,367240,186028,181212
대전광역시,대덕구,169583,86190,83393
울산광역시,소계,1103402,567081,536321
울산광역시,중구,208568,105484,103084
울산광역시,남구,306762,156534,150228
울산광역시,동구,152104,79360,72744
울산광역시,북구,217045,112423,104622
울산광역시,울주군,218923,113280,105643
세종특별자치시,소계,386944,192704,194240
세종특별자치시,세종시,386944,192704,194240
경기도,소계,13635250,6857867,6777383
경기도,수원시,1197220,602313,594907
경기도,장안구,270959,136151,134808
경기도,권선구,366306,185101,181205
경기도,팔달구,196921,99145,97776
경기도,영통구,363034,181916,181118
경기도,성남시,919856,455212,464644
경기도,수정구,236825,119944,116881
경기도,중원구,210369,106258,104111
경기도,분당구,472662,229010,243652
경기도,의정부시,463724,227907,235817
경기도,안양시,546078,269636,276442
경기도,만안구,230139,114885,115254
경기도,동안구,315939,154751,161188
경기도,부천시,778874,384980,393894
경기도,원미구,393826,193682,200144
경기도,소사구,229858,112904,116954
경기도,오정구,155190,78394,76796
경기도,광명시,279943,137331,142612
경기도,평택시,591878,310958,280920
경기도,송탄출장소,0,0,0
경기도,안중출장소,0,0,0
경기도,동두천시,88539,44123,44416
경기도,안산시,628374,321849,306525
경기도,상록구,333879,170228,163651
경기도,단원구,294495,151621,142874
경기도,고양시,1073751,523765,549986
경기도,덕양구,495660,243657,252003
경기도,일산동구,291491,141296,150195
경기도,일산서구,286600,138812,147788
경기도,과천시,81071,39685,41386
경기도,구리시,186846,92406,94440
경기도,남양주시,732472,363275,369197
경기도,풍양출장소,0,0,0
경기도,오산시,230108,119984,110124
경기도,시흥시,519306,270911,248395
경기도,군포시,260693,129295,131398
경기도,의왕시,158221,78516,79705
경기도,하남시,329688,164114,165574
경기도,용인시,1076859,534001,542858
경기도,처인구,261719,134372,127347
경기도,기흥구,437751,215786,221965
경기도,수지구,377389,183843,193546
경기도,파주시,499883,253229,246654
경기도,이천시,221693,115393,106300
경기도,안성시,189406,97965,91441
경기도,김포시,486026,242822,243204
경기도,화성시,946582,491662,454920
경기도,화성시동부출장소,0,0,0
경기도,화성시동탄출장소,0,0,0
경기도,광주시,391866,199833,192033
경기도,양주시,269658,136127,133531
경기도,포천시,143157,75787,67370
경기도,여주시,114336,58157,56179
경기도,연천군,41487,21738,19749
경기도,가평군,62274,32087,30187
경기도,양평군,125381,62806,62575
강원특별자치도,소계,1526243,767496,758747
강원특별자치도,춘천시,286168,141281,144887
강원특별자치도,원주시,361498,179007,182491
강원특별자치도,강릉시,209174,103616,105558
강원특별자치도,동해시,88591,45007,43584
강원특별자치도,태백시,38613,19464,19149
강원특별자치도,속초시,82021,40606,41415
강원특별자치도,삼척시,62309,31645,30664
강원특별자치도,홍천군,67348,34685,32663
강원특별자치도,횡성군,46265,23785,22480
강원특별자치도,영월군,37260,19264,17996
강원특별자치도,평창군,40642,21054,19588
강원특별자치도,정선군,34139,17813,16326
강원특별자치도,철원군,41319,21395,19924
강원특별자치도,화천군,22942,12282,10660
강원특별자치도,양구군,20975,10994,9981
강원특별자치도,인제군,32004,17421,14583
강원특별자치도,고성군,27294,14008,13286
강원특별자치도,양양군,27681,14169,13512
충청북도,소계,1592155,809830,782325
충청북도,청주시,851951,430319,421632
충청북도,서원구,186023,92576,93447
충청북도,청원구,190559,98111,92448
충청북도,상당구,200726,99728,100998
충청북도,흥덕구,274643,139904,134739
충청북도,충주시,207761,105446,102315
충청북도,제천시,129852,65296,64556
충청북도,보은군,30950,15654,15296
충청북도,옥천군,48863,24694,24169
충청북도,영동군,44120,22138,21982
충청북도,증평군,37499,19531,17968
충청북도,진천군,86065,45547,40518
충청북도,괴산군,36438,18800,17638
충청북도,음성군,90976,48329,42647
충청북도,단양군,27680,14076,13604
충청남도,소계,2130509,1092059,1038450
충청남도,당진시,170353,91074,79279
충청남도,천안시,655791,336124,319667
충청남도,동남구,257698,130601,127097
충청남도,서북구,398093,205523,192570
충청남도,공주시,101906,50861,51045
충청남도,보령시,95564,48365,47199
충청남도,아산시,347243,181007,166236
충청남도,서산시,175894,92055,83839
충청남도,논산시,110336,55167,55169
충청남도,계룡시,46716,23333,23383
충청남도,금산군,50025,25353,24672
충청남도,부여군,60869,30324,30545
충청남도,서천군,49037,24220,24817
충청남도,청양군,30013,15359,14654
충청남도,홍성군,97721,48794,48927
충청남도,예산군,78310,39283,39027
충청남도,태안군,60731,30740,29991
전북특별자치도,소계,1752921,872493,880428
전북특별자치도,전주시,641908,315293,326615
전북특별자치도,완산구,326737,158715,168022
전북특별자치도,덕진구,315171,156578,158593
전북특별자치도,군산시,259668,131543,128125
전북특별자치도,익산시,269429,134107,135322
전북특별자치도,정읍시,103590,51612,51978
전북특별자치도,남원시,76664,37614,39050
전북특별자치도,김제시,81376,40629,40747
전북특별자치도,완주군,98272,50377,47895
전북특별자치도,진안군,24455,12493,11962
전북특별자치도,무주군,23223,11622,11601
전북특별자치도,장수군,20951,10515,10436
전북특별자치도,임실군,25884,13331,12553
전북특별자치도,순창군,26744,13136,13608
전북특별자치도,고창군,51701,25802,25899
전북특별자치도,부안군,49056,24419,24637
전라남도,소계,1802672,908705,893967
전라남도,목포시,213983,106310,107673
전라남도,여수시,271413,138189,133224
전라남도,순천시,277950,138728,139222
전라남도,나주시,117262,59209,58053
전라남도,광양시,152853,80012,72841
전라남도,담양군,45272,22899,22373
전라남도,곡성군,26844,13335,13509
전라남도,구례군,24277,11871,12406
전라남도,고흥군,61057,29849,31208
전라남도,보성군,37619,18435,19184
전라남도,화순군,61177,30278,30899
전라남도,장흥군,34950,17084,17866
전라남도,강진군,32718,15961,16757
전라남도,해남군,64444,32195,32249
전라남도,영암군,52331,27359,24972
전라남도,무안군,90338,45440,44898
전라남도,함평군,30523,15469,15054
전라남도,영광군,51670,25849,25821
전라남도,장성군,42479,21842,20637
전라남도,완도군,46530,23453,23077
전라남도,진도군,28938,14413,14525
전라남도,신안군,38044,20525,17519
경상북도,소계,2551370,1288999,1262371
경상북도,포항시,492949,250223,242726
경상북도,남구,226165,117480,108685
경상북도,북구,266784,132743,134041
경상북도,경주시,247124,123726,123398
경상북도,김천시,137247,68997,68250
경상북도,안동시,152751,75440,77311
경상북도,구미시,405518,209132,196386
경상북도,영주시,100100,49727,50373
경상북도,영천시,100110,51133,48977
경상북도,상주시,93645,46064,47581
경상북도,문경시,68529,33643,34886
경상북도,경산시,265801,133593,132208
경상북도,의성군,49882,24728,25154
경상북도,청송군,24034,12061,11973
경상북도,영양군,15642,7807,7835
경상북도,영덕군,33982,16227,17755
경상북도,청도군,41267,20461,20806
경상북도,고령군,30025,15436,14589
경상북도,성주군,42038,21982,20056
경상북도,칠곡군,110299,57844,52455
경상북도,예천군,55304,27216,28088
경상북도,봉화군,29531,15043,14488
경상북도,울진군,46561,23497,23064
경상북도,울릉군,9031,5019,4012
경상남도,소계,3248703,1636010,1612693
경상남도,창원시,1008228,510299,497929
경상남도,의창구,212927,108307,104620
경상남도,성산구,244866,124898,119968
경상남도,마산합포구,179158,88958,90200
경상남도,마산회원구,180296,89904,90392
경상남도,진해구,190981,98232,92749
경상남도,진주시,340520,168126,172394
경상남도,통영시,120327,60424,59903
경상남도,사천시,109073,55167,53906
경상남도,사천남양출장소,0,0,0
경상남도,김해시,533710,269806,263904
경상남도,장유출장소,0,0,0
경상남도,밀양시,101956,50321,51635
경상남도,거제시,233930,122508,111422
경상남도,양산시,355347,177750,177597
경상남도,양산시웅상출장소,0,0,0
경상남도,의령군,25440,12669,12771
경상남도,함안군,60077,30784,29293
경상남도,창녕군,57003,28498,28505
경상남도,고성군,49306,24898,24408
경상남도,남해군,40699,19797,20902
경상남도,하동군,41486,20756,20730
경상남도,산청군,33723,16739,16984
경상남도,함양군,36873,17894,18979
경상남도,거창군,59909,29480,30429
경상남도,합천군,41096,20094,21002
제주특별자치도,소계,674353,337578,336775
제주특별자치도,제주시,490888,245197,245691
제주특별자치도,서귀포시,183465,92381,91084
